headword	collocate	reason	docfreq_head	docfreq_collocate	span_hits	sample_doc_ids	classification
''	september	no_span_example	32	0	0		malformed_lemma_pattern
''	parche	no_span_example	32	0	0		malformed_lemma_pattern
''	illumination	no_span_example	32	0	0		malformed_lemma_pattern
''	''in	no_span_example	32	0	0		malformed_lemma_pattern
''	v1.0.0.129	no_span_example	32	0	0		malformed_lemma_pattern
''	alpha	no_span_example	32	0	0		malformed_lemma_pattern
''	v1.0.0.151	no_span_example	32	0	0		malformed_lemma_pattern
''	v1.0.0.70	no_span_example	32	0	0		malformed_lemma_pattern
''	marcepan	no_span_example	32	0	0		malformed_lemma_pattern
''	chorus	no_span_example	32	0	0		malformed_lemma_pattern
''	applejack	no_span_example	32	0	0		malformed_lemma_pattern
''	sparkle	no_span_example	32	0	0		malformed_lemma_pattern
''	v1.0.0.111	no_span_example	32	0	0		malformed_lemma_pattern
''	may	no_span_example	32	0	0		malformed_lemma_pattern
''	semana	no_span_example	32	0	0		malformed_lemma_pattern
''	alfa	no_span_example	32	0	0		malformed_lemma_pattern
''	cooldown	no_span_example	32	3	0		malformed_lemma_pattern
]	cooldown	no_span_example	23	3	0		malformed_lemma_pattern
]	patch	no_span_example	23	0	0		malformed_lemma_pattern
]	tooltip	no_span_example	23	0	0		malformed_lemma_pattern
]	mayo	no_span_example	23	0	0		malformed_lemma_pattern
]	semana	no_span_example	23	0	0		malformed_lemma_pattern
]	alfa	no_span_example	23	0	0		malformed_lemma_pattern
]	v1.0.0.129	no_span_example	23	0	0		malformed_lemma_pattern
]	auxiliary	no_span_example	23	0	0		malformed_lemma_pattern
]	abril	no_span_example	23	0	0		malformed_lemma_pattern
]	junio	no_span_example	23	0	0		malformed_lemma_pattern
]	v1.0.0.111	no_span_example	23	0	0		malformed_lemma_pattern
]	v1.0.0.151	no_span_example	23	0	0		malformed_lemma_pattern
]	v1.0.0.70	no_span_example	23	0	0		malformed_lemma_pattern
]	may	no_span_example	23	0	0		malformed_lemma_pattern
]	teleport	no_span_example	23	1	0		malformed_lemma_pattern
]	alpha	no_span_example	23	0	0		malformed_lemma_pattern
'	fluttershy	no_span_example	30	0	0		malformed_lemma_pattern
'	rarity	no_span_example	30	0	0		malformed_lemma_pattern
'	parche	no_span_example	30	0	0		malformed_lemma_pattern
'	september	no_span_example	30	0	0		malformed_lemma_pattern
'	alpha	no_span_example	30	0	0		malformed_lemma_pattern
'	''in	no_span_example	30	0	0		malformed_lemma_pattern
'	applejack	no_span_example	30	0	0		malformed_lemma_pattern
'	marcepan	no_span_example	30	0	0		malformed_lemma_pattern
'	chorus	no_span_example	30	0	0		malformed_lemma_pattern
'	sparkle	no_span_example	30	0	0		malformed_lemma_pattern
'	may	no_span_example	30	0	0		malformed_lemma_pattern
'	semana	no_span_example	30	0	0		malformed_lemma_pattern
'	alfa	no_span_example	30	0	0		malformed_lemma_pattern
'	v1.0.0.129	no_span_example	30	0	0		malformed_lemma_pattern
'	i	no_span_example	30	0	0		malformed_lemma_pattern
[	parche	no_span_example	23	0	0		malformed_lemma_pattern
[	alpha	no_span_example	23	0	0		malformed_lemma_pattern
[	may	no_span_example	23	0	0		malformed_lemma_pattern
[	semana	no_span_example	23	0	0		malformed_lemma_pattern
[	alfa	no_span_example	23	0	0		malformed_lemma_pattern
[	v1.0.0.129	no_span_example	23	0	0		malformed_lemma_pattern
[	patch	no_span_example	23	0	0		malformed_lemma_pattern
[	building_track	no_span_example	23	0	0		malformed_lemma_pattern
[	june	no_span_example	23	0	0		malformed_lemma_pattern
[	v1.0.0.151	no_span_example	23	0	0		malformed_lemma_pattern
[	april	no_span_example	23	0	0		malformed_lemma_pattern
[	v1.0.0.111	no_span_example	23	0	0		malformed_lemma_pattern
[	v1.0.0.70	no_span_example	23	0	0		malformed_lemma_pattern
[	auxiliary	no_span_example	23	0	0		malformed_lemma_pattern
[	mayo	no_span_example	23	0	0		malformed_lemma_pattern
cooldown	from	no_span_example	3	9	0		both_present_but_no_span
cooldown	]	no_span_example	3	23	0		malformed_lemma_pattern
cooldown	6	no_span_example	3	3	0		malformed_lemma_pattern
cooldown	:'''	no_span_example	3	8	0		malformed_lemma_pattern
cooldown	increase	no_span_example	3	3	0		both_present_but_no_span
cooldown	patch	no_span_example	3	0	0		missing_collocate
cooldown	]:'''	no_span_example	3	2	0		malformed_lemma_pattern
cooldown	week	no_span_example	3	3	0		both_present_but_no_span
cooldown	4	no_span_example	3	3	0		malformed_lemma_pattern
cooldown	seconds	no_span_example	3	3	0		both_present_but_no_span
cooldown	7	no_span_example	3	5	0		malformed_lemma_pattern
cooldown	:'	no_span_example	3	7	0		malformed_lemma_pattern
cooldown	''	no_span_example	3	32	0		malformed_lemma_pattern
*	patch	no_span_example	15	0	0		malformed_lemma_pattern
*	tooltip	no_span_example	15	0	0		malformed_lemma_pattern
*	alfa	no_span_example	15	0	0		malformed_lemma_pattern
*	v1.0.0.129	no_span_example	15	0	0		malformed_lemma_pattern
*	alpha	no_span_example	15	0	0		malformed_lemma_pattern
,	patch	no_span_example	12	0	0		malformed_lemma_pattern
,	parche	no_span_example	12	0	0		malformed_lemma_pattern
,	mayo	no_span_example	12	0	0		malformed_lemma_pattern
,	may	no_span_example	12	0	0		malformed_lemma_pattern
,	i	no_span_example	12	0	0		malformed_lemma_pattern
"	parche	no_span_example	14	0	0		malformed_lemma_pattern
"	i	no_span_example	14	0	0		malformed_lemma_pattern
"	may	no_span_example	14	0	0		malformed_lemma_pattern
to	i	no_span_example	19	0	0		missing_collocate
to	tooltip	no_span_example	19	0	0		missing_collocate
.	i	no_span_example	27	0	0		malformed_lemma_pattern
the	tooltip	no_span_example	8	0	0		missing_collocate
and	i	no_span_example	8	0	0		missing_collocate
from	cooldown	no_span_example	9	3	0		both_present_but_no_span
:	springtime	no_span_example	3	0	0		malformed_lemma_pattern
